Address, zip1, rent, beds, baths, sqft, NA, NA1, NA2,0,1,2,3,4,5,6,7
"4236 Parks Avenue , Unit 10, La Mesa, CA 91941",91941,2295.0,2,2.0,870,,Torrey Pines Property Management,https://www.torreypinespm.com/listings/detail/113384d6-5dcd-4f32-a5db-9e8c00048d44,506,"4236 parks avenue , unit 10, la mesa, CA, 91941",Match,Exact,"4236 PARKS AVE, LA MESA, CA, 91941","-117.03052887699994,32.75563221500005",195359344.0,L
"304 West Ivy Street, Unit 105, San Diego, CA 92101",92101,1695.0,Studio,1.0,870,,Torrey Pines Property Management,https://www.torreypinespm.com/listings/detail/7c4ee21a-d896-4de7-890a-c1b27b76975e,507,"304 west ivy street, unit 105, san diego, CA, 92101",Match,Exact,"304 W IVY ST, SAN DIEGO, CA, 92101","-117.16583193599996,32.72828253400007",195343293.0,R
"1808 3rd Avenue, Unit 3, San Diego, CA 92101",92101,1595.0,Studio,1.0,870,,Torrey Pines Property Management,https://www.torreypinespm.com/listings/detail/12328731-eaeb-459c-902d-a180421c80df,508,"1808 3rd avenue, unit 3, san diego, CA, 92101",Match,Exact,"1808 3RD AVE, SAN DIEGO, CA, 92101","-117.16212370299996,32.724191405000056",195343492.0,L
"2929 Broadway, Unit 105, San Diego, CA 92102",92102,2050.0,1,1.0,550,,Torrey Pines Property Management,https://www.torreypinespm.com/listings/detail/b435aa35-8240-4e99-af44-dce87aad9dad,509,"2929 broadway, unit 105, san diego, CA, 92102",Match,Exact,"2929 BROADWAY, SAN DIEGO, CA, 92102","-117.13109992499994,32.71579443600007",195348142.0,R
"2660 Hornblend St #O, San Diego, CA 92109",92109,3195.0,2,1.0,750,,Torrey Pines Property Management,https://www.torreypinespm.com/listings/detail/0a0f61cc-7847-4daf-9a0b-d8815d98188f,510,"2660 hornblend st #o, san diego, CA, 92109",Match,Exact,"2660 HORNBLEND ST, SAN DIEGO, CA, 92109","-117.22124101199995,32.80315881700005",612859362.0,L
"2263 Palm Ave #17, San Diego, CA 92154",92154,2400.0,2,2.0,900,,Torrey Pines Property Management,https://www.torreypinespm.com/listings/detail/aebba39b-503c-4273-988f-d1f6932d0de9,511,"2263 palm ave #17, san diego, CA, 92154",Match,Exact,"2263 PALM AVE, SAN DIEGO, CA, 92154","-117.08581052499994,32.583758911000075",638576657.0,R
"762 Hollister St #164, San Diego, CA 92154",92154,1950.0,1,1.0,682,,Torrey Pines Property Management,https://www.torreypinespm.com/listings/detail/33001a27-fc3a-44ba-9efb-540cc6a0975b,512,"762 hollister st #164, san diego, CA, 92154",Match,Exact,"762 HOLLISTER ST, SAN DIEGO, CA, 92154","-117.08415211899995,32.58267119200008",195357754.0,R
"4655 Lamont Street, Unit 305, San Diego, CA 92109",92109,3095.0,2,1.0,821,,Torrey Pines Property Management,https://www.torreypinespm.com/listings/detail/a59e4bcf-3731-4efc-a926-63ec5f42184b,513,"4655 lamont street, unit 305, san diego, CA, 92109",Match,Exact,"4655 LAMONT ST, SAN DIEGO, CA, 92109","-117.23590669899994,32.803050961000054",612858161.0,R
"1930 Emerald Street, Unit 109, San Diego, CA 92109",92109,2895.0,2,1.0,821,,Torrey Pines Property Management,https://www.torreypinespm.com/listings/detail/d35e0a45-59b0-40be-b53d-b9a13c26e158,514,"1930 emerald street, unit 109, san diego, CA, 92109",Match,Exact,"1930 EMERALD ST, SAN DIEGO, CA, 92109","-117.23535433999996,32.80305668200003",195303182.0,L
"4424 44th St #135, San Diego, CA 92115",92115,2395.0,1,1.0,641,,Torrey Pines Property Management,https://www.torreypinespm.com/listings/detail/d9079c6b-6f6f-459f-958c-33712939a17c,515,"4424 44th st #135, san diego, CA, 92115",Match,Exact,"4424 44TH ST, SAN DIEGO, CA, 92115","-117.10025597499998,32.75761250700003",195346931.0,L
"661 Copper Drive, Unit 19, Vista, CA 92083",92083,1950.0,1,1.0,708,,Torrey Pines Property Management,https://www.torreypinespm.com/listings/detail/69f1c615-6e1d-44f6-8faa-d6306eda8b7a,516,"661 copper drive, unit 19, vista, CA, 92083",Match,Exact,"661 COPPER DR, VISTA, CA, 92083","-117.25774887799997,33.198727295000026",195418796.0,R
"4330 Palm Avenue, Unit B103, La Mesa, CA 91941",91941,2295.0,1,1.0,708,,Torrey Pines Property Management,https://www.torreypinespm.com/listings/detail/adabef19-59d2-4dcd-9069-90762c3f0893,517,"4330 palm avenue, unit b103, la mesa, CA, 91941",Match,Exact,"4330 PALM AVE, LA MESA, CA, 91941","-117.01464206499998,32.75717023400006",640045308.0,L
"2927 Broadway, Unit 103, San Diego, CA 92102",92102,1800.0,Studio,1.0,420,,Torrey Pines Property Management,https://www.torreypinespm.com/listings/detail/9b56a214-c5b2-4371-b6b1-3d1325980fe7,518,"2927 broadway, unit 103, san diego, CA, 92102",Match,Exact,"2927 BROADWAY, SAN DIEGO, CA, 92102","-117.13114131799995,32.71579415000008",195348142.0,R
"2660 Hornblend St #N, San Diego, CA 92109",92109,2995.0,2,1.0,750,,Torrey Pines Property Management,https://www.torreypinespm.com/listings/detail/d023e12b-8571-49e7-8ce1-bff3ce80b8e4,519,"2660 hornblend st #n, san diego, CA, 92109",Match,Exact,"2660 HORNBLEND ST, SAN DIEGO, CA, 92109","-117.22124101199995,32.80315881700005",612859362.0,L
"4330 Palm Avenue, Unit B203, La Mesa, CA 91941",91941,2295.0,1,1.0,567,,Torrey Pines Property Management,https://www.torreypinespm.com/listings/detail/b84792f0-ebd8-4d4d-a43c-a3a4e5793e88,520,"4330 palm avenue, unit b203, la mesa, CA, 91941",Match,Exact,"4330 PALM AVE, LA MESA, CA, 91941","-117.01464206499998,32.75717023400006",640045308.0,L
"3639 South Bonita Street, Unit 3, Spring Valley, CA 91977",91977,2095.0,2,2.0,700,,Torrey Pines Property Management,https://www.torreypinespm.com/listings/detail/1febdb3c-fe35-4816-8cb7-56258ae8f122,521,"3639 south bonita street, unit 3, spring valley, CA, 91977",Match,Exact,"3639 S BONITA ST, SPRING VALLEY, CA, 91977","-116.98329513799996,32.74606801200002",612879679.0,R
"1990 Apple St, Unit 74, Oceanside, CA 92054",92054,2300.0,2,1.0,950,,Torrey Pines Property Management,https://www.torreypinespm.com/listings/detail/5cab1161-f3b2-4795-b9f2-03c27d538d91,522,"1990 apple st, unit 74, oceanside, CA, 92054",Match,Exact,"1990 APPLE ST, OCEANSIDE, CA, 92054","-117.35404836299995,33.19690617600003",195281020.0,L
"933 Seacoast Drive, Unit I, Imperial Beach, CA 91932",91932,2850.0,1,1.0,700,,Torrey Pines Property Management,https://www.torreypinespm.com/listings/detail/6f8c10d9-7649-445e-864d-c6d83f8a4df2,523,"933 seacoast drive, unit i, imperial beach, CA, 91932",Match,Exact,"933 SEACOAST DR, IMPERIAL BEACH, CA, 91932","-117.13164411899999,32.57951495800006",612894422.0,L
"4649 Voltaire Street, Unit 13, San Diego, CA 92107",92107,2195.0,1,1.0,700,,Torrey Pines Property Management,https://www.torreypinespm.com/listings/detail/fab7cfb7-0a9b-41b6-827d-b8d8822416de,524,"4649 voltaire street, unit 13, san diego, CA, 92107",Match,Exact,"4649 VOLTAIRE ST, SAN DIEGO, CA, 92107","-117.24058360599997,32.74822961000007",195339436.0,L
"3706 Georgia Street, Unit 4, San Diego, CA 92103",92103,2095.0,1,1.0,700,,Torrey Pines Property Management,https://www.torreypinespm.com/listings/detail/dfccab3c-fe1a-43b3-b7e7-261770fb4a7b,525,"3706 georgia street, unit 4, san diego, CA, 92103",Match,Exact,"3706 GEORGIA ST, SAN DIEGO, CA, 92103","-117.14501778899995,32.74545998700006",195345319.0,L
543 ,11111,2575.0,2,1.0,700,,Torrey Pines Property Management,https://www.torreypinespm.com/listings/detail/e37b3cff-1978-4916-aca1-2a71450b8375,526,", , , 11111",No_Match,,,,,
"1035 19th St #204, San Diego, CA 92102",92102,2995.0,2,2.0,930,,Torrey Pines Property Management,https://www.torreypinespm.com/listings/detail/89a25b08-de1a-405f-b37b-74089a630378,527,"1035 19th st #204, san diego, CA, 92102",Match,Exact,"1035 19TH ST, SAN DIEGO, CA, 92102","-117.14668425599996,32.71614934400003",195343880.0,R
"2636 Grand Ave #230, San Diego, CA 92109",92109,3595.0,2,2.0,1057,,Torrey Pines Property Management,https://www.torreypinespm.com/listings/detail/1222062f-e8c2-42c7-bd7a-d80d01b21cf3,528,"2636 grand ave #230, san diego, CA, 92109",Match,Exact,"2636 GRAND AVE, SAN DIEGO, CA, 92109","-117.22158605099997,32.80199651700008",612859364.0,L
"3701 Yosemite Street, San Diego, CA 92109",92109,4500.0,3,2.5,1968,,Torrey Pines Property Management,https://www.torreypinespm.com/listings/detail/4db4be2e-62a4-4f67-b519-4fa7a3d4a2f9,529,"3701 yosemite street, san diego, CA, 92109",Match,Exact,"3701 YOSEMITE ST, SAN DIEGO, CA, 92109","-117.23594131599998,32.787064878000024",195303387.0,R
"1741 ORO VISTA ROAD #250, SAN DIEGO, CA 92154",92154,2295.0,2,1.5,776,,Torrey Pines Property Management,https://www.torreypinespm.com/listings/detail/46fcf254-b243-4969-9879-171eeeb33292,530,"1741 oro vista road #250, san diego, CA, 92154",Match,Exact,"1741 ORO VISTA RD, SAN DIEGO, CA, 92154","-117.07842956599995,32.56580036100007",195686249.0,L
"8633 La Mesa Blvd, Unit 084, La Mesa, CA 91942",91942,2095.0,1,1.0,690,,Torrey Pines Property Management,https://www.torreypinespm.com/listings/detail/06d58293-00a1-45a6-b1b7-29ddb23f03d7,531,"8633 la mesa blvd, unit 084, la mesa, CA, 91942",Match,Exact,"8633 LA MESA BLVD, LA MESA, CA, 91942","-117.01141453999998,32.769262379000054",629817435.0,R
"4350 Palm Avenue, Unit A207, La Mesa, CA 91941",91941,2995.0,2,2.0,803,,Torrey Pines Property Management,https://www.torreypinespm.com/listings/detail/ca96d7a1-52cf-4a7a-85b7-9da940634b11,532,"4350 palm avenue, unit a207, la mesa, CA, 91941",Match,Exact,"4350 PALM AVE, LA MESA, CA, 91941","-117.01485590199997,32.75762853300006",640045308.0,L
"157 Daisy Avenue, Unit E, Imperial Beach, CA 91932",91932,1895.0,1,1.0,650,,Torrey Pines Property Management,https://www.torreypinespm.com/listings/detail/41aa11bf-28a5-49f4-b2ac-6893490766e0,533,"157 daisy avenue, unit e, imperial beach, CA, 91932",Match,Exact,"157 DAISY AVE, IMPERIAL BEACH, CA, 91932","-117.13048824199996,32.581674958000065",195687904.0,R
"9071 Dallas Street, Unit C8, La Mesa, CA 91942",91942,2695.0,2,2.0,1045,,Torrey Pines Property Management,https://www.torreypinespm.com/listings/detail/53b665c5-f0bf-4e6f-ab09-c2161b57e6d1,534,"9071 dallas street, unit c8, la mesa, CA, 91942",Match,Exact,"9071 DALLAS ST, LA MESA, CA, 91942","-117.00319988999996,32.79233792600007",195326633.0,R
"2636 Grand Ave #208, San Diego, CA 92109",92109,2595.0,1,1.0,824,,Torrey Pines Property Management,https://www.torreypinespm.com/listings/detail/485763c0-e18e-48f3-af59-faaba4e23216,535,"2636 grand ave #208, san diego, CA, 92109",Match,Exact,"2636 GRAND AVE, SAN DIEGO, CA, 92109","-117.22158605099997,32.80199651700008",612859364.0,L
"4236 Parks Avenue , Unit 8, La Mesa, CA 91941",91941,1795.0,1,1.0,824,,Torrey Pines Property Management,https://www.torreypinespm.com/listings/detail/203b612a-77c2-45e5-a441-ed01f2efab69,536,"4236 parks avenue , unit 8, la mesa, CA, 91941",Match,Exact,"4236 PARKS AVE, LA MESA, CA, 91941","-117.03052887699994,32.75563221500005",195359344.0,L
"4425 Cass Street Unit E, San Diego, CA 92109",92109,795.0,1,1.0,824,,Torrey Pines Property Management,https://www.torreypinespm.com/listings/detail/31ec5a7f-7ee5-4883-96e4-e1323e63a646,537,"4425 cass street unit e, san diego, CA, 92109",Match,Exact,"4425 CASS ST, SAN DIEGO, CA, 92109","-117.25131949799999,32.795927867000046",612857422.0,R
"2636 Grand Ave #235, San Diego, CA 92109",92109,3195.0,2,2.0,1057,,Torrey Pines Property Management,https://www.torreypinespm.com/listings/detail/e6da4ceb-815e-487d-97d6-f7379ab0e763,538,"2636 grand ave #235, san diego, CA, 92109",Match,Exact,"2636 GRAND AVE, SAN DIEGO, CA, 92109","-117.22158605099997,32.80199651700008",612859364.0,L
"4424 44th St #104, San Diego, CA 92115",92115,2295.0,1,1.0,641,,Torrey Pines Property Management,https://www.torreypinespm.com/listings/detail/36816b89-08a9-4577-ab9c-5d448a95d49f,539,"4424 44th st #104, san diego, CA, 92115",Match,Exact,"4424 44TH ST, SAN DIEGO, CA, 92115","-117.10025597499998,32.75761250700003",195346931.0,L
"9071 Dallas Street, Unit B39, La Mesa, CA 91942",91942,2195.0,1,1.0,704,,Torrey Pines Property Management,https://www.torreypinespm.com/listings/detail/af6c4763-3503-4581-a8a7-dc7d42ff97ac,540,"9071 dallas street, unit b39, la mesa, CA, 91942",Match,Exact,"9071 DALLAS ST, LA MESA, CA, 91942","-117.00319988999996,32.79233792600007",195326633.0,R
"6663 Montezuma Rd #21, San Diego, CA 92115",92115,2195.0,1,1.0,500,,Torrey Pines Property Management,https://www.torreypinespm.com/listings/detail/29e9584d-a531-4b27-a006-18205a99c1de,541,"6663 montezuma rd #21, san diego, CA, 92115",Match,Exact,"6663 MONTEZUMA RD, SAN DIEGO, CA, 92115","-117.05505604999996,32.76865598000006",195323659.0,R
"1038 B Street #B, Ramona, CA",11111,1795.0,2,1.5,,Now,Uplift,https://upliftpm.com/available-properties/,542,"1038 b street #b, ramona, CA, 11111",Match,Non_Exact,"1038 B ST, RAMONA, CA, 92065","-116.86987175699994,33.04253140900005",195330444.0,L
"1645 Warnock Dr Unit B, Ramona, CA",11111,2195.0,2,1.0,,10/18/2023,Uplift,https://upliftpm.com/available-properties/,543,"1645 warnock dr unit b, ramona, CA, 11111",Match,Non_Exact,"1645 WARNOCK DR, RAMONA, CA, 92065","-116.87399565299995,33.01491287500005",195330806.0,L
"142 Brandenburg Lane, Fallbrook, CA",11111,3500.0,3,2.0,,Now,Uplift,https://upliftpm.com/available-properties/,544,"142 brandenburg lane, fallbrook, CA, 11111",Match,Non_Exact,"142 BRANDENBURG LN, FALLBROOK, CA, 92028","-117.24016136599994,33.38255549200005",195281873.0,L
"2540 S., Escondido, CA",11111,3295.0,3,3.5,,10/10/2023,Uplift,https://upliftpm.com/available-properties/,545,"2540 s., escondido, CA, 11111",No_Match,,,,,
10939,10939,4195.0,4,2.0,,Now,Uplift,https://upliftpm.com/available-properties/,546,", , , 10939",No_Match,,,,,
"3815 Marlborough Ave #5, San Diego, CA",11111,1800.0,1,1.0,,Now,Uplift,https://upliftpm.com/available-properties/,547,"3815 marlborough ave #5, san diego, CA, 11111",Match,Non_Exact,"3815 MARLBOROUGH AVE, SAN DIEGO, CA, 92105","-117.10564082499997,32.74796321200006",195346973.0,R
"4728 Choctaw Dr, San Diego, CA",11111,2895.0,3,2.0,,Now,Uplift,https://upliftpm.com/available-properties/,548,"4728 choctaw dr, san diego, CA, 11111",Match,Non_Exact,"4728 CHOCTAW DR, SAN DIEGO, CA, 92115","-117.06200944299997,32.76468622500005",195351052.0,L
"4304 51st St #8, San Diego, CA",11111,1795.0,1,1.0,,Now,Uplift,https://upliftpm.com/available-properties/,549,"4304 51st st #8, san diego, CA, 11111",Match,Non_Exact,"4304 51ST ST, SAN DIEGO, CA, 92115","-117.08477178399994,32.755025971000066",195350040.0,L
"813 B St Unit 4, Ramona, CA",11111,1895.0,2,1.0,,Now,Uplift,https://upliftpm.com/available-properties/,550,"813 b st unit 4, ramona, CA, 11111",Match,Non_Exact,"813 B ST, RAMONA, CA, 92065","-116.86638984199999,33.04458506200007",195330436.0,R
"1046 Swaner Street, San Diego, CA",11111,3595.0,3,2.0,,Now,Uplift,https://upliftpm.com/available-properties/,551,"1046 swaner street, san diego, CA, 11111",Match,Non_Exact,"1046 SWANER ST, SAN DIEGO, CA, 92114","-117.07127631399999,32.71652062000004",195352152.0,L
11869,11869,3200.0,2,2.0,,Now,Uplift,https://upliftpm.com/available-properties/,552,", , , 11869",No_Match,,,,,
"1041 Calla Ave Unit F, Imperial Beach, CA",11111,2025.0,2,1.0,,Now,Uplift,https://upliftpm.com/available-properties/,553,"1041 calla ave unit f, imperial beach, CA, 11111",Match,Non_Exact,"1041 CALLA AVE, IMPERIAL BEACH, CA, 91932","-117.11131352499996,32.585436956000024",195354983.0,R
16123,16123,3395.0,3,2.0,,Now,Uplift,https://upliftpm.com/available-properties/,554,", , , 16123",No_Match,,,,,
10350,10350,3095.0,2,2.0,,Now,Uplift,https://upliftpm.com/available-properties/,555,", , , 10350",No_Match,,,,,
22720,22720,4500.0,5,2.5,,Now,Uplift,https://upliftpm.com/available-properties/,556,", , , 22720",No_Match,,,,,
"4730 Choctaw Dr A, San Diego, CA",11111,1895.0,2,1.0,,,Uplift,https://upliftpm.com/available-properties/,557,"4730 choctaw dr a, san diego, CA, 11111",Match,Non_Exact,"4730 CHOCTAW DR, SAN DIEGO, CA, 92115","-117.06203501399995,32.764709785000036",195351052.0,L
"411 Emerald Ave #9, El Cajon, CA",11111,1995.0,2,1.0,,,Uplift,https://upliftpm.com/available-properties/,558,"411 emerald ave #9, el cajon, CA, 11111",Match,Non_Exact,"411 EMERALD AVE, EL CAJON, CA, 92020","-116.96874396999999,32.79127878400004",195328743.0,L
,11111,,,,,,Uplift,https://upliftpm.com/available-properties/,559,", , , 11111",No_Match,,,,,
